1. Metrica empleada: Coseno 

2. Metodo de prediccion:  Simple 

3. Número de vecinos: 10 

MATRIZ DE SIMILITUD
[0] => 1.000		0.691		0.681		0.668		0.669		0.686		0.684		0.676		0.662		0.698		0.667		0.670		0.677		0.681		0.668		0.689		0.670		0.676		0.693		0.671		0.674		0.679		0.683		0.672		0.661		0.692		0.696		0.679		0.650		0.681		0.673		0.688		0.668		0.673		0.669		0.682		0.685		0.669		0.674		0.691		0.675		0.665		0.691		0.671		0.691		0.696		0.686		0.686		0.657		0.695		0.683		0.674		0.673		0.688		0.687		0.672		0.683		0.658		0.664		0.674		0.673		0.664		0.683		0.652		0.669		0.647		0.660		0.663		0.655		0.678		0.682		0.670		0.675		0.667		0.667		0.682		0.672		0.678		0.691		0.677		0.692		0.674		0.684		0.687		0.699		0.671		0.676		0.683		0.675		0.668		0.696		0.664		0.661		0.661		0.673		0.667		0.690		0.679		0.661		0.666		
[1] => 0.691		1.000		0.689		0.692		0.697		0.694		0.687		0.683		0.669		0.712		0.682		0.685		0.683		0.696		0.692		0.692		0.673		0.695		0.682		0.695		0.692		0.685		0.679		0.677		0.684		0.708		0.685		0.676		0.675		0.686		0.662		0.682		0.687		0.673		0.696		0.697		0.673		0.715		0.696		0.702		0.676		0.705		0.686		0.717		0.678		0.703		0.684		0.679		0.682		0.710		0.696		0.685		0.664		0.696		0.671		0.694		0.686		0.685		0.688		0.691		0.685		0.694		0.687		0.695		0.691		0.686		0.701		0.690		0.678		0.683		0.667		0.686		0.667		0.677		0.690		0.691		0.677		0.676		0.678		0.693		0.694		0.691		0.677		0.692		0.698		0.701		0.705		0.691		0.690		0.672		0.687		0.686		0.694		0.707		0.678		0.682		0.681		0.705		0.680		0.711		
[2] => 0.681		0.689		1.000		0.673		0.698		0.666		0.690		0.705		0.687		0.675		0.678		0.678		0.689		0.679		0.699		0.672		0.670		0.684		0.672		0.674		0.693		0.686		0.697		0.670		0.685		0.698		0.710		0.685		0.685		0.705		0.676		0.687		0.668		0.705		0.694		0.681		0.679		0.681		0.668		0.678		0.671		0.673		0.681		0.695		0.684		0.680		0.674		0.695		0.678		0.699		0.700		0.669		0.692		0.694		0.691		0.690		0.676		0.672		0.686		0.664		0.679		0.683		0.685		0.695		0.668		0.693		0.671		0.685		0.683		0.684		0.698		0.682		0.689		0.667		0.687		0.683		0.687		0.680		0.693		0.690		0.698		0.693		0.651		0.686		0.678		0.699		0.695		0.693		0.701		0.694		0.665		0.675		0.670		0.693		0.675		0.686		0.667		0.689		0.675		0.692		
[3] => 0.668		0.692		0.673		1.000		0.701		0.692		0.690		0.668		0.671		0.682		0.673		0.686		0.663		0.687		0.670		0.682		0.678		0.680		0.674		0.683		0.676		0.681		0.697		0.675		0.681		0.687		0.704		0.698		0.675		0.693		0.687		0.683		0.689		0.692		0.675		0.658		0.689		0.693		0.669		0.684		0.675		0.684		0.683		0.686		0.674		0.683		0.677		0.681		0.671		0.713		0.685		0.668		0.660		0.690		0.683		0.695		0.685		0.663		0.685		0.686		0.685		0.705		0.674		0.662		0.688		0.676		0.666		0.667		0.685		0.689		0.691		0.669		0.685		0.678		0.690		0.675		0.676		0.669		0.679		0.691		0.693		0.672		0.674		0.678		0.675		0.687		0.683		0.672		0.693		0.662		0.677		0.693		0.672		0.702		0.664		0.678		0.665		0.688		0.686		0.696		
[4] => 0.669		0.697		0.698		0.701		1.000		0.696		0.698		0.696		0.685		0.697		0.684		0.679		0.695		0.691		0.702		0.692		0.648		0.710		0.689		0.692		0.669		0.685		0.676		0.688		0.679		0.683		0.684		0.701		0.668		0.670		0.683		0.681		0.690		0.696		0.693		0.674		0.694		0.693		0.703		0.696		0.694		0.675		0.698		0.703		0.694		0.684		0.683		0.706		0.675		0.698		0.688		0.690		0.679		0.697		0.688		0.665		0.679		0.681		0.676		0.690		0.699		0.702		0.684		0.682		0.708		0.668		0.681		0.694		0.683		0.683		0.711		0.678		0.691		0.681		0.699		0.702		0.696		0.698		0.683		0.698		0.684		0.686		0.712		0.692		0.690		0.680		0.701		0.698		0.702		0.672		0.689		0.696		0.666		0.706		0.668		0.690		0.681		0.700		0.691		0.708		
[5] => 0.686		0.694		0.666		0.692		0.696		1.000		0.696		0.683		0.689		0.712		0.684		0.674		0.682		0.706		0.676		0.675		0.660		0.695		0.694		0.682		0.687		0.685		0.675		0.696		0.683		0.708		0.689		0.696		0.650		0.686		0.675		0.689		0.681		0.690		0.675		0.677		0.686		0.681		0.692		0.707		0.678		0.672		0.684		0.658		0.692		0.703		0.680		0.696		0.673		0.696		0.697		0.680		0.682		0.697		0.696		0.677		0.679		0.677		0.668		0.674		0.673		0.698		0.690		0.704		0.676		0.674		0.670		0.696		0.685		0.681		0.683		0.694		0.686		0.678		0.722		0.685		0.691		0.697		0.701		0.691		0.693		0.683		0.678		0.681		0.690		0.692		0.686		0.689		0.694		0.684		0.683		0.686		0.669		0.693		0.671		0.681		0.693		0.688		0.667		0.692		
[6] => 0.684		0.687		0.690		0.690		0.698		0.696		1.000		0.677		0.669		0.679		0.672		0.698		0.672		0.680		0.675		0.671		0.677		0.688		0.674		0.690		0.687		0.676		0.672		0.688		0.684		0.708		0.697		0.682		0.677		0.696		0.682		0.682		0.687		0.692		0.681		0.676		0.674		0.691		0.694		0.702		0.694		0.671		0.703		0.671		0.691		0.674		0.694		0.686		0.686		0.695		0.680		0.664		0.678		0.704		0.680		0.663		0.687		0.703		0.685		0.678		0.688		0.696		0.671		0.698		0.681		0.673		0.675		0.688		0.673		0.682		0.697		0.665		0.684		0.673		0.704		0.686		0.692		0.675		0.691		0.683		0.674		0.684		0.677		0.687		0.694		0.682		0.682		0.677		0.692		0.687		0.689		0.683		0.668		0.673		0.698		0.664		0.686		0.685		0.672		0.666		
[7] => 0.676		0.683		0.705		0.668		0.696		0.683		0.677		1.000		0.675		0.692		0.682		0.676		0.693		0.689		0.695		0.685		0.668		0.688		0.692		0.694		0.694		0.684		0.676		0.687		0.697		0.695		0.691		0.703		0.687		0.688		0.674		0.683		0.693		0.673		0.682		0.682		0.680		0.685		0.685		0.711		0.692		0.692		0.689		0.694		0.684		0.679		0.690		0.697		0.702		0.698		0.690		0.689		0.683		0.702		0.702		0.701		0.671		0.667		0.693		0.683		0.683		0.681		0.686		0.695		0.682		0.681		0.669		0.667		0.667		0.679		0.702		0.677		0.682		0.692		0.683		0.670		0.678		0.696		0.686		0.702		0.709		0.680		0.685		0.674		0.677		0.691		0.695		0.701		0.683		0.688		0.672		0.688		0.664		0.693		0.690		0.685		0.676		0.691		0.690		0.683		
[8] => 0.662		0.669		0.687		0.671		0.685		0.689		0.669		0.675		1.000		0.673		0.682		0.667		0.668		0.694		0.666		0.675		0.659		0.669		0.661		0.688		0.693		0.664		0.676		0.682		0.674		0.680		0.680		0.662		0.682		0.677		0.680		0.675		0.672		0.682		0.680		0.656		0.674		0.680		0.669		0.706		0.672		0.678		0.682		0.666		0.673		0.688		0.675		0.674		0.668		0.686		0.672		0.677		0.673		0.681		0.700		0.679		0.705		0.665		0.670		0.694		0.677		0.702		0.680		0.668		0.656		0.662		0.660		0.650		0.689		0.671		0.669		0.678		0.691		0.668		0.689		0.695		0.671		0.672		0.691		0.685		0.674		0.654		0.687		0.666		0.680		0.677		0.688		0.674		0.687		0.666		0.683		0.692		0.673		0.693		0.663		0.673		0.676		0.659		0.656		0.659		
[9] => 0.698		0.712		0.675		0.682		0.697		0.712		0.679		0.692		0.673		1.000		0.682		0.696		0.686		0.694		0.686		0.694		0.678		0.692		0.685		0.698		0.717		0.694		0.673		0.682		0.686		0.690		0.697		0.672		0.666		0.697		0.694		0.675		0.686		0.672		0.696		0.691		0.683		0.698		0.672		0.685		0.680		0.693		0.706		0.693		0.706		0.699		0.678		0.699		0.700		0.699		0.685		0.702		0.697		0.700		0.703		0.699		0.674		0.658		0.693		0.670		0.684		0.689		0.690		0.693		0.680		0.696		0.680		0.692		0.675		0.684		0.705		0.696		0.686		0.685		0.673		0.673		0.686		0.703		0.689		0.697		0.702		0.688		0.692		0.698		0.693		0.688		0.691		0.668		0.682		0.688		0.685		0.663		0.673		0.694		0.687		0.685		0.678		0.677		0.691		0.681		
